name,id,type
가슴 두근 립,1012374,face accessory
10주년 블랙 치클,1012376,face accessory
10주년 화이트 치클,1012377,face accessory
발그레 발그레,1012379,face accessory
장난꾸러기 밴드,1012384,face accessory
삐에로,1012388,face accessory
세일러 마스크,1012389,face accessory
그레이 워리어 마이스터 심볼,1012396,face accessory
그레이 매지션 마이스터 심볼,1012397,face accessory
그레이 아처 마이스터 심볼,1012398,face accessory
그레이 시프 마이스터 심볼,1012399,face accessory
그레이 파이렛 마이스터 심볼,1012400,face accessory
레드 워리어 마이스터 심볼,1012401,face accessory
레드 매지션 마이스터 심볼,1012402,face accessory
레드 아처 마이스터 심볼,1012403,face accessory
레드 시프 마이스터 심볼,1012404,face accessory
레드 파이렛 마이스터 심볼,1012405,face accessory
샤이니 레드 워리어 마이스터 심볼,1012406,face accessory
샤이니 레드 매지션 마이스터 심볼,1012407,face accessory
샤이니 레드 아처 마이스터 심볼,1012408,face accessory
샤이니 레드 시프 마이스터 심볼,1012409,face accessory
샤이니 레드 파이렛 마이스터 심볼,1012410,face accessory
화이트 프리미엄 마이스터 심볼,1012411,face accessory
암염의 눈물,1012412,face accessory
블링레드 립스틱,1012415,face accessory
생과일 딸기맛 아이스바,1012420,face accessory
에볼루션 얼음 결정,1012423,face accessory
ㅎㅂㅎ 얼굴장식,1012427,face accessory
ㅎㅅㅎ 얼굴장식,1012428,face accessory
ㅎㅇㅎ 얼굴장식,1012429,face accessory
ㅎㅈㅎ 얼굴장식,1012430,face accessory
ㅎㅗㅎ 얼굴장식,1012431,face accessory
눈ㅅ눈 얼굴장식,1012432,face accessory
눈ㅈ눈 얼굴장식,1012433,face accessory
눈ㅎ눈 얼굴장식,1012434,face accessory
눈ㅠ눈 얼굴장식,1012435,face accessory
눈_눈 얼굴장식,1012436,face accessory
카튼의 동글 수염,1012440,face accessory
카튼의 울어버린 수염,1012441,face accessory
카튼의 볼륨 컬 수염,1012442,face accessory
카튼의 뽀글파마 수염,1012443,face accessory
카튼의 은빛 신사 수염,1012444,face accessory
카튼의 헤이아저씨 수염,1012445,face accessory
카튼의 걱정 수염,1012446,face accessory
카튼의 푸른 수염,1012447,face accessory
카튼의 흰 볼륨 컬 수염,1012448,face accessory
카튼의 움직이는 수염,1012449,face accessory
초코볼 쿠키,1012450,face accessory
뾰족 여우 수염,1012454,face accessory
냠냠사탕,1012468,face accessory
헤어져라 마스크,1012469,face accessory
11주년 세인트 치클,1012471,face accessory
레인보우 페인팅,1012472,face accessory
화가난다!!! 얼굴,1012473,face accessory
태극 페인팅,1012475,face accessory
응축된 힘의 결정석,1012478,face accessory
발그레 냥이 코,1012479,face accessory
꽥꽥 오리야,1012482,face accessory
단감 홍조,1012485,face accessory
랄랄라 메가폰,1012489,face accessory
낡은 해골 마스크,1012637,face accessory
해골 마스크,1012495,face accessory
깨물기 없다 앙!,1012501,face accessory
눈코입 꽁꽁꽁,1012502,face accessory
방독면,1012508,face accessory
하트 초콜릿,1012514,face accessory
딸기 케이크,1012515,face accessory
벨룸 마스크,1012517,face accessory
반반 마스크,1012518,face accessory
메이플 트레져 버블,1012524,face accessory
맛있으면 돼지!,1012525,face accessory
너무맛있어! 돼지바!,1012526,face accessory
발그레 예티,1012527,face accessory
보스 스우 아이즈,1012528,face accessory
슬라임 얼굴장식,1012529,face accessory
주황버섯 얼굴장식,1012530,face accessory
페페 얼굴장식,1012531,face accessory
핑크빈 얼굴장식,1012532,face accessory
봄 구름 조각,1012533,face accessory
린의 블러드 마스크,1012537,face accessory
린의 피노키오 코,1012538,face accessory
레몬맛 아이스바,1012540,face accessory
체리맛 아이스바,1012541,face accessory
자몽맛 아이스바,1012542,face accessory
포도맛 아이스바,1012543,face accessory
쿨네시스,1012544,face accessory
파왕의 얼굴,1012551,face accessory
할로윈 가면,1012554,face accessory
뱀파이어 아이즈 (사파이어),1012555,face accessory
뱀파이어 아이즈 (루비),1012556,face accessory
냠냠 오즈,1012557,face accessory
하트빔 얼굴,1012562,face accessory
루돌프의 빨간 코,1012563,face accessory
감격의 눈물,1012567,face accessory
동공지진,1012568,face accessory
아가뽀뽀,1012569,face accessory
나른zz,1012571,face accessory
예쁘게 웃어요,1012573,face accessory
요상한 핑크빈 얼굴장식,1012574,face accessory
요상한 페페 얼굴장식,1012575,face accessory
요상한 주황버섯 얼굴장식,1012576,face accessory
요상한 슬라임 얼굴장식,1012577,face accessory
요상한 인형 얼굴장식,1012578,face accessory
뿌뿌 얼굴,1012579,face accessory
잉잉 졸려,1012589,face accessory
싸구려 가면,1012590,face accessory
화려한 가면,1012591,face accessory
ㅇㅂㅇ 얼굴장식,1012592,face accessory
ㅇ_ㅇ 얼굴장식,1012593,face accessory
ㅇㅅㅇ 얼굴장식,1012594,face accessory
ㅅㅂㅅ 얼굴장식,1012595,face accessory
ㅅ_ㅅ 얼굴장식,1012596,face accessory
ㅅ ㅅ 얼굴장식,1012597,face accessory
별나라 깨비깨비,1012601,face accessory
눈감은 별나라 깨비깨비,1012602,face accessory
좋아좋아,1012607,face accessory
초코가득 얼굴장식,1012608,face accessory
신비주의,1012610,face accessory
퓨어 화이트,1012611,face accessory
스노우 화이트,1012612,face accessory
그윽한 얼굴,1012614,face accessory
은근한 얼굴,1012615,face accessory
하트초콜릿,1012616,face accessory
딸기케이크,1012617,face accessory
장미월병,1012618,face accessory
매앵 얼굴,1012620,face accessory
화나쪄 얼굴,1012621,face accessory
탱글 빵 얼굴,1012624,face accessory
하트 콩콩,1012625,face accessory
카데나 마스크,1012626,face accessory
과묵 반창고,1012631,face accessory
루즈 컨트롤 머신 마크,1012632,face accessory
빛바랜 기억,1012633,face accessory
냄새가 났어!!,1012634,face accessory
검은 침묵,1012636,face accessory
무지개 홍조,1012639,face accessory
심연의 세례,1012640,face accessory
복숭아꽃,1012641,face accessory
얌얌 맛나,1012646,face accessory
냠냠 맛나,1012647,face accessory
찍찍 화나,1012649,face accessory
얼굴 위 낙서,1012650,face accessory
울망울망,1012651,face accessory
뱅글이 얼굴,1012653,face accessory
동글 홍조,1012656,face accessory
다 덤벼 얼굴,1012658,face accessory
그리운 추억,1012659,face accessory
자체발광,1012660,face accessory
사신의 눈빛,1012661,face accessory
인형 보라,1012668,face accessory
인형 라벤더,1012669,face accessory
자몽 생크림,1012672,face accessory
딸기 생크림,1012673,face accessory
백월,1012675,face accessory
흑월,1012676,face accessory
볼빨간 추위,1012683,face accessory
사납고 못된 토끼,1012684,face accessory
미드나잇 립,1012688,face accessory
공허한 추억,1012689,face accessory
티그리스 위스커,1012693,face accessory
호루라기,1012694,face accessory
아이돌 마스크 블랙,1012702,face accessory
아이돌 마스크 화이트,1012703,face accessory
트윙클 글리터,1012704,face accessory
견습 도사의 수염,1012705,face accessory
불의 원소술사,1012708,face accessory
아이 추워,1012709,face accessory
뿌뿌 좋아,1012716,face accessory
흑백영화 콧수염,1012718,face accessory
아일린 블러셔,1012719,face accessory
너무해 얼굴,1012721,face accessory
서커스 메이크업,1012723,face accessory
카리아인 메이크업,1012725,face accessory
미궁의 기억,1012729,face accessory
냠냠 붕어빵,1012730,face accessory
사르르 도넛,1012742,face accessory
포근 졸려,1012744,face accessory
마주한 운명,1012747,face accessory
홍조 깨비깨비,1012748,face accessory
new 요상한 예티 얼굴장식,1012754,face accessory
new 요상한 핑크빈 얼굴장식,1012755,face accessory
new 요상한 슬라임 얼굴장식,1012756,face accessory
트와일라이트 마크,1012757,face accessory
볼빵빵 눈다람,1012758,face accessory
달콤 버블껌,1012759,face accessory
병아리 부리,1012760,face accessory
몽환의 장미,1012762,face accessory
아쿠아 장난감 선글라스,1020000,eye decoration
핑크 장난감 선글라스,1021000,eye decoration
주황색 안경,1022000,eye decoration
파란색 안경,1022001,eye decoration
노란색 안경,1022002,eye decoration
초록색 안경,1022003,eye decoration
까만 선글라스,1022004,eye decoration
빨간색 뿔테 안경,1022005,eye decoration
파란색 뿔테 안경,1022006,eye decoration
초록색 뿔테 안경,1022007,eye decoration
주황색 뿔테 안경,1022008,eye decoration
네오 글라스,1022009,eye decoration
태극 조로 마스크,1022010,eye decoration
빨간색 조로 마스크,1022011,eye decoration
파란색 조로 마스크,1022012,eye decoration
검은색 조로 마스크,1022013,eye decoration
브라운 레이벤 선글라스,1022014,eye decoration
블랙 레이벤 선글라스,1022015,eye decoration
블루 레이벤 선글라스,1022016,eye decoration
퍼플 레이벤 선글라스,1022017,eye decoration
머스커레이드,1022018,eye decoration
샐러리맨안경,1022019,eye decoration
레드 메탈 고글,1022020,eye decoration
최면술 안경(적),1022021,eye decoration
최면술 안경(청),1022022,eye decoration
닌자 안대,1022023,eye decoration
해골 안대,1022024,eye decoration
하트무늬 안대,1022025,eye decoration
별무늬 안대,1022026,eye decoration
위생 안대,1022027,eye decoration
뱅뱅 주먹코안경,1022028,eye decoration
뱅뱅 돼지코안경,1022029,eye decoration
b사감 안경,1022030,eye decoration
화이트 장난감 선글라스,1022031,eye decoration
옐로우 장난감 선글라스,1022032,eye decoration
홈즈 안경,1022033,eye decoration
괴인 안경,1022034,eye decoration
오렌지 스포츠고글,1022035,eye decoration
그린 스포츠고글,1022036,eye decoration
무테안경,1022037,eye decoration
보라색 땡글이 선글라스,1022038,eye decoration
주황색 땡글이 선글라스,1022039,eye decoration
모노클,1022040,eye decoration
패션 선글라스,1022041,eye decoration
스카우터,1022262,eye decoration
붕대,1022043,eye decoration
모범생 안경,1022044,eye decoration
눈가리개,1022045,eye decoration
초록 뿔테 안경,1022049,eye decoration
빈티지 스타일 안경,1022050,eye decoration
빨간 반무테 안경,1022051,eye decoration
레이저 안경,1022052,eye decoration
미스틱퍼플 글라스,1022053,eye decoration
스타일리쉬 레이벤 안경,1022054,eye decoration
핑크색 선글라스,1022055,eye decoration
밀키레드 글라스,1022056,eye decoration
블랙 썬그라스,1022059,eye decoration
레드비즈 해적안대,1022061,eye decoration
블랙해골 해적안대,1022062,eye decoration
플랫 미니 글라스,1022063,eye decoration
빅 선글라스,1022064,eye decoration
화이트 쉐이드,1022068,eye decoration
오렌지 쉐이드,1022069,eye decoration
그린 쉐이드,1022070,eye decoration
핑크 쉐이드,1022071,eye decoration
옐로우 쉐이드,1022142,eye decoration
금이 간 안경,1022073,eye decoration
가가 안경,1022074,eye decoration
캔디 안경,1022075,eye decoration
투명 안경,1022079,eye decoration
gd 선글라스,1022083,eye decoration
뭐요! 안대,1022086,eye decoration
고고학자의 안경,1022089,eye decoration
드래곤 안경,1022097,eye decoration
led 선글라스,1022102,eye decoration
옐로우 투톤 선글라스,1022108,eye decoration
핑크 투톤 선글라스,1022109,eye decoration
화이트 빅 선글라스,1022110,eye decoration
미카엘의 안경,1022114,eye decoration
미카엘라의 안경,1022115,eye decoration
오닉스 드래곤 안경,1022117,eye decoration
2011 고고학자의 안경,1022119,eye decoration
여행자의 윙글래스,1022162,eye decoration
켄타의 물안경,1022123,eye decoration
엘븐 글래스,1022129,eye decoration
부스트업 글래스,1022163,eye decoration
<저스티스>여행자의 윙글래스,1022134,eye decoration
소공의 팬더 장식,1022135,eye decoration
어눌한 팬더 장식,1022136,eye decoration
세인트 세이버 고글,1022137,eye decoration
2012 발굴된 유물 안경,1022139,eye decoration
쿨썸머 물안경,1022164,eye decoration
카오스 핑크빈 마크,1022182,eye decoration
프렌즈 윙글래스,1022145,eye decoration
미스틱 눈장식,1022148,eye decoration
템페스트 글래스,1022149,eye decoration
로맨틱 팬텀,1022150,eye decoration
오페라 마스크,1022151,eye decoration
베네치아 드림,1022153,eye decoration
[ms특가] 까만 선글라스,1022158,eye decoration
레베카의 클래식 안경,1022185,eye decoration
레베카의 깨진 안경,1022186,eye decoration
무한의 여행자의 윙글래스,1022166,eye decoration
요정의 윙글래스,1022167,eye decoration
블랙 페더 글래스,1022168,eye decoration
화이트데이 새콤달콤 안경,1022172,eye decoration
3d 글래스,1022174,eye decoration
켄타의 새 물안경,1022175,eye decoration
외눈안대,1022176,eye decoration
스타 선글라스,1022177,eye decoration
이글이글 눈빛,1022183,eye decoration
얼어붙는 눈빛,1022184,eye decoration
오늘 깨어졌어요,1032192,earrings
멀뚱 안대,1022188,eye decoration
돈이 좋아~!,1022196,eye decoration
에볼루션 선글라스,1022197,eye decoration
썸머 물안경,1022200,eye decoration
핫 썸머 물안경,1022205,eye decoration
로맨틱 led 선글라스,1022223,eye decoration
사이클롭스 아이 lv.1,1022224,eye decoration
사이클롭스 아이 lv.2,1022225,eye decoration
사이클롭스 아이 lv.3,1022226,eye decoration
고장난 사이클롭스 아이,1022228,eye decoration
vip 글래스,1022229,eye decoration
바니 글래스,1022230,eye decoration
아쿠아틱 레터 눈장식,1022231,eye decoration
블랙빈 마크,1022232,eye decoration
도너츠 안경,1022243,eye decoration
데미안 안대,1022244,eye decoration
미카엘의 새 안경,1022245,eye decoration
미카엘라의 새 안경,1022246,eye decoration
까만 선글래스,1022247,eye decoration
파인애플 안경,1022248,eye decoration
린의 클래식 안경,1022251,eye decoration
린의 깨진 안경,1022252,eye decoration
페어리 마크,1022254,eye decoration
붕대 눈가리개,1022259,eye decoration
 코야코야 안대,1022263,eye decoration
블랙 다이아,1022265,eye decoration
개인정보 보호막대,1022267,eye decoration
보라색 장미의 사람,1022274,eye decoration
바나나 안경,1022276,eye decoration
파풀라투스 마크,1022277,eye decoration
마력이 깃든 안대,1022278,eye decoration
붕대 눈가리개 블랙,1022279,eye decoration
하트안대,1022280,eye decoration
33 안경,1022282,eye decoration
동글이 안경,1022285,eye decoration
별의 계약자,1022287,eye decoration
심쿵 안대,1022288,eye decoration
견습 도사의 흉터,1022290,eye decoration
기사의 가면,1022291,eye decoration
낭만 동글이 안경,1022292,eye decoration
해변 선글라스,1022295,eye decoration
선셋 선글라스,1022296,eye decoration
작은 꽃밭,1022302,eye decoration
어둠의 추격자 안대,1022310,eye decoration
홀로그램 선글라스,1022317,eye decoration
추 귀고리,1032000,earrings
한쪽 은 귀고리,1032001,earrings
사파이어 귀고리,1032002,earrings
자수정 귀고리,1032003,earrings
금 링 귀고리,1032004,earrings
레드 크로스링,1032005,earrings
번개 귀고리,1032006,earrings
에메랄드 귀고리,1032007,earrings
캣츠 아이,1032008,earrings
옐로우 스퀘어,1032009,earrings
별 귀고리,1032010,earrings
블루 문,1032256,earrings
해골 귀고리,1032257,earrings
빨간하트 귀고리,1032013,earrings
분홍꽃 귀고리,1032014,earrings
메탈실버 이어링,1032015,earrings
메탈하트 이어링,1032016,earrings
장미꽃 귀고리,1032017,earrings
펜지 이어링,1032018,earrings
크리스탈 플라워링,1032019,earrings
골드드롭 이어링,1032020,earrings
홀리 크로스링,1032021,earrings
하프 이어링,1032022,earrings
딸기 귀고리,1032023,earrings
투명 귀고리,1032024,earrings
나뭇잎 귀고리,1032025,earrings
골드 에메랄드 이어링,1032026,earrings
블랙 에메랄드 이어링,1032027,earrings
레드 에메랄드 이어링,1032028,earrings
실버 이어링,1032029,earrings
소드 이어링,1032030,earrings
타임리스 이어링,1032031,earrings
낙엽 귀고리,1032032,earrings
수호석,1032033,earrings
코-크 귀고리,1032047,earrings
십자 비즈 귀고리,1032036,earrings
눈꽃 귀고리,1032038,earrings
메이플 이어링,1032151,earrings
다이아몬드 귀고리,1032051,earrings
슬라임 귀고리,1032052,earrings
클로버 이어링,1032053,earrings
레인보우 이어링,1032054,earrings
요원c의 낡은 수신기,1032057,earrings
요원c의 티타늄 수신기,1032058,earrings
코카-콜라 제로 귀고리,1032059,earrings
알테어 이어링,1032060,earrings
빛나는 알테어 이어링,1032061,earrings
블루투스,1032063,earrings
자유로운 영혼의 피어싱,1032075,earrings
아울 귀고리,1032076,earrings
렉스의 그린 이어링,1032077,earrings
렉스의 레드 이어링,1032078,earrings
렉스의 블루 이어링,1032079,earrings
프론티어 이어링,1032085,earrings
체력의 하운드 이어링,1032088,earrings
마력의 하운드 이어링,1032089,earrings
하이퍼 하운드 이어링,1032090,earrings
님블 하운드 이어링,1032091,earrings
크레센트 문 이어링,1032092,earrings
라이징 썬 이어링,1032093,earrings
홀리윙 이어링,1032095,earrings
당근 귀고리,1032098,earrings
포도알 귀고리,1032171,earrings
아이스나이트의 얼음 귀고리,1032100,earrings
눈부신 알테어 이어링,1032101,earrings
완전한 렉스의 그린 이어링,1032102,earrings
완전한 렉스의 레드 이어링,1032103,earrings
완전한 렉스의 블루 이어링,1032104,earrings
세인트 세이버 이어링,1032105,earrings
피어리스 이어링,1032108,earrings
하프문 이어링,1032109,earrings
블레이징썬 이어링,1032110,earrings
레전드 메이플 이어링,1032113,earrings
새콤달콤 귀고리,1032154,earrings
레전드 새콤달콤 귀고리,1032116,earrings
운동회 우승팀 귀고리,1032121,earrings
부스트업 귀고리,1032172,earrings
<저스티스>포도알 귀고리,1032131,earrings
<저스티스>새콤달콤 귀고리,1032132,earrings
흑룡의 귀고리,1032133,earrings
지옥의 불꽃,1032136,earrings
미하일의 이어링,1032137,earrings
강인한 전사의 이어링,1032139,earrings
9주년 메이플 이어링,1032173,earrings
영웅의 귀고리,1032141,earrings
현명한 마법사의 이어링,1032143,earrings
자유로운 궁수의 이어링,1032144,earrings
레지스탕스 이어링,1032147,earrings
템페스트 이어링,1032148,earrings
뉴 프론티어 이어링,1032152,earrings
미스틱 이어링,1032156,earrings
2012 운동회 우승팀 귀고리,1032160,earrings
스텔라 이어링,1032166,earrings
음표 귀고리,1032167,earrings
얼티밋 이어링,1032168,earrings
레베카의 새콤달콤 귀고리,1032193,earrings
레베카의 포도알 귀고리,1032194,earrings
new 프론티어 이어링,1032176,earrings
무한의 흑룡의 귀고리,1032177,earrings
요정의 흑룡 귀고리,1032178,earrings
전통놀이 우승 귀고리,1032180,earrings
화이트데이 새콤달콤 귀고리,1032182,earrings
샤먼 이어링,1032183,earrings
꿈속의 지옥 불꽃,1032185,earrings
찬란한 알테어 이어링,1032186,earrings
레인보우 귀고리,1032195,earrings
마이스터 이어링,1032200,earrings
에스메랄다 이어링,1032202,earrings
에볼루션 피어싱,1032203,earrings
스칼렛 이어링,1032216,earrings
인버스 쥬얼 이어링,1032217,earrings
래빗 이어링,1032226,earrings
이피아의 귀고리,1032227,earrings
할로윈로이드 센서,1032228,earrings
오션 글로우 이어링,1032232,earrings
데아 시두스 이어링,1032241,earrings
린의 새콤달콤 귀고리,1032252,earrings
옥토퍼스 이어링,1032254,earrings
할로윈 귀고리,1032259,earrings
견습 도사의 귀고리,1032313,earrings
꿈 속의 빛,1032315,earrings
커맨더 포스 이어링,1032316,earrings
[bts] 블랙 샹들리에,1032322,earrings
블랙 이어 마이크,1032328,earrings
화이트 이어 마이크,1032329,earrings
에스텔라 이어링,1032330,earrings
혼테일의 목걸이,1122000,pendant
슈피겔만의 목걸이,1122007,pendant
호루스의 눈,1122010,pendant
봉인된 타임리스 펜던트,1122011,pendant
타임리스 펜던트,1122012,pendant
고든의 마법인두,1122013,pendant
메이플 스카프,1122203,pendant
정령의 펜던트,1122215,pendant
슈피겔만의 혼돈 목걸이,1122058,pendant
아울 펜던트,1122073,pendant
메이플 펜던트,1122074,pendant
메이플 파이롭 매직 펜던트,1122075,pendant
카오스 혼테일의 목걸이,1122076,pendant
메이플  파이롭 파워 펜던트,1122077,pendant
베어스 그린 펜던트,1122088,pendant
베어스 레드 펜던트,1122089,pendant
베어스 핑크 펜던트,1122090,pendant
베어스 퍼플 펜던트,1122091,pendant
아울스 그린 펜던트,1122092,pendant
아울스 레드 펜던트,1122093,pendant
아울스 핑크 펜던트,1122094,pendant
아울스 퍼플 펜던트,1122095,pendant
울프스 그린 펜던트,1122096,pendant
울프스 레드 펜던트,1122097,pendant
울프스 핑크 펜던트,1122098,pendant
울프스 퍼플 펜던트,1122099,pendant
피콕스 그린 펜던트,1122100,pendant
피콕스 레드 펜던트,1122101,pendant
피콕스 핑크 펜던트,1122102,pendant
피콕스 퍼플 펜던트,1122103,pendant
라이징 썬 펜던트,1122104,pendant
라르손의 챌린져 펜던트,1122105,pendant
라르손의 이벤트 챌린져 펜던트,1122107,pendant
포도알 펜던트,1122205,pendant
투게더 메이플 펜던트,1122115,pendant
로미오의 펜던트,1122116,pendant
줄리엣의 펜던트,1122117,pendant
영원한 사랑의 증표,1122118,pendant
꿀수박 목걸이,1122206,pendant
피어리스 펜던트,1122148,pendant
블레이징썬 펜던트,1122149,pendant
도미네이터 펜던트,1122377,pendant
레전드 메이플 스카프,1122154,pendant
스페셜 정령의 펜던트,1122207,pendant
베테랑 크로스 펜던트,1122194,pendant
황금 송편 목걸이,1122161,pendant
